FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,sexe
Mike Minniger,--,--,--,,,M
Ikuhisa Minowa,5' 9",181 lbs.,--,Orthodox,1976-01-12,M
Carlton Minus,5' 10",170 lbs.,75",Orthodox,1993-04-26,M
Stipe Miocic,6' 4",240 lbs.,80",Orthodox,1982-08-19,M
Frank Mir,6' 3",264 lbs.,79",Southpaw,1979-05-24,M
Juan Miranda,--,155 lbs.,--,,,M
Mario Miranda,6' 3",185 lbs.,74",Orthodox,1979-07-12,M
Vitor Miranda,6' 1",185 lbs.,77",Orthodox,1979-03-10,M
Damir Mirenic,6' 0",185 lbs.,--,Orthodox,1974-08-02,M
Kazuo Misaki,5' 8",183 lbs.,--,Orthodox,1976-04-25,M
Toby Misech,5' 8",145 lbs.,--,Southpaw,1988-03-07,M
Dokonjonosuke Mishima,5' 7",155 lbs.,--,Southpaw,1972-04-19,M
Felix Lee Mitchell,--,--,--,Orthodox,,M
David Mitchell,6' 0",170 lbs.,75",Orthodox,1979-10-24,M
Danny Mitchell,6' 2",170 lbs.,--,Orthodox,1986-08-08,M
Brad Mitchell,5' 11",145 lbs.,--,,1974-10-10,M
Clay Mitchell,6' 2",185 lbs.,--,,,M
Bryce Mitchell,5' 10",145 lbs.,70",Southpaw,1994-10-04,M
Maurice Mitchell,5' 9",145 lbs.,--,Orthodox,1987-06-29,M
Roman Mitichyan,5' 10",170 lbs.,--,Orthodox,1978-09-04,M
Matt Mitrione,6' 3",265 lbs.,82",Switch,1978-07-15,M
Eiji Mitsuoka,5' 7",145 lbs.,--,Southpaw,1976-01-01,M
Hiromitsu Miura,5' 9",170 lbs.,71",Orthodox,1981-09-22,M
JonathanMix,6' 0",168 lbs.,--,,1980-11-09,M
Tomoya Miyashita,5' 7",139 lbs.,--,Southpaw,,M
Kazuyuki Miyata,5' 8",139 lbs.,--,Orthodox,,M
Motoki Miyazawa,5' 11",168 lbs.,--,Southpaw,,M
Takeya Mizugaki,5' 7",135 lbs.,69",Orthodox,1983-12-16,M
Tatsuya Mizuno,6' 1",205 lbs.,--,Southpaw,1981-06-02,M
Roxanne Modafferi,5' 7",125 lbs.,69",Orthodox,1982-09-24,F
Bobby Moffett,5' 10",145 lbs.,73",Orthodox,1990-06-01,M
Bronson Mohika,--,135 lbs.,--,,,M
Nate Mohr,5' 9",155 lbs.,72",Orthodox,1983-03-03,M
Renato Moicano,5' 11",155 lbs.,72",Orthodox,1989-05-21,M
Thiago Moises,5' 9",155 lbs.,70",Orthodox,1995-03-23,M
Muhammad Mokaev,5' 9",125 lbs.,--,,2000-07-30,M
Ashkan Mokhtarian,5' 6",125 lbs.,67",Southpaw,1985-09-15,M
Suman Mokhtarian,5' 8",145 lbs.,72",Orthodox,1992-06-13,M
Dan Molina,5' 10",216 lbs.,--,,1984-06-14,M
Jeff Molina,5' 6",125 lbs.,69",Orthodox,1997-07-17,M
Rudyard Moncayo,5' 10",195 lbs.,--,Orthodox,,M
Hidetaka Monma,6' 0",168 lbs.,--,Orthodox,1973-10-23,M
Jeff Monson,5' 9",247 lbs.,74",Orthodox,1971-01-18,M
Darrell Montague,5' 6",125 lbs.,67",Southpaw,1987-11-03,M
Andrew Montanez,--,185 lbs.,--,,,M
Augusto Montano,6' 1",170 lbs.,73",Orthodox,1984-10-25,M
Erick Montano,6' 0",170 lbs.,73",Orthodox,1985-11-19,M
Nicco Montano,5' 5",135 lbs.,65",Southpaw,1988-12-16,F
Alberto Montes,5' 7",135 lbs.,--,,1994-05-31,M
Steve Montgomery,6' 4",185 lbs.,--,Southpaw,1990-12-19,M
James Moontasri,5' 10",170 lbs.,71",Switch,1988-04-10,M
Homer Moore,5' 10",205 lbs.,--,Orthodox,1971-11-27,M
Todd Moore,5' 9",170 lbs.,71",Southpaw,1983-12-30,M
Nate Moore,6' 0",170 lbs.,--,,,M
Dustin Moore,5' 4",125 lbs.,--,,,M
Taylor Moore,5' 10",135 lbs.,70",Southpaw,1993-10-16,M
Sergio Moraes,6' 0",170 lbs.,72",Orthodox,1982-07-23,M
Marlon Moraes,5' 6",135 lbs.,67",Orthodox,1988-04-26,M
Sheymon Moraes,5' 8",145 lbs.,72",Orthodox,1990-10-11,M
John Moraga,5' 6",125 lbs.,66",Orthodox,1984-03-20,M
Ricardo Morais,6' 8",270 lbs.,--,Orthodox,1967-02-26,M
Leonardo Morales,5' 8",135 lbs.,--,Southpaw,1992-12-22,M
Albert Morales,5' 9",135 lbs.,72",Orthodox,1991-05-25,M
Joseph Morales,5' 6",125 lbs.,69",Switch,1994-08-22,M
Vince Morales,5' 7",135 lbs.,70",Orthodox,1990-11-12,M
Omar Morales,5' 11",145 lbs.,73",Orthodox,1985-10-17,M
Michael Morales,6' 0",170 lbs.,79",Orthodox,1999-06-24,M
Sarah Moras,5' 7",135 lbs.,67",Orthodox,1988-04-30,M
Christian Morecraft,6' 6",260 lbs.,81",Orthodox,1986-09-08,M
Joe Moreira,5' 11",195 lbs.,--,Southpaw,,M
Richardson Moreira,6' 2",185 lbs.,--,Orthodox,1984-03-31,M
Gisele Moreira,5' 6",135 lbs.,--,Orthodox,1981-01-14,F
Vinicius Moreira,6' 4",205 lbs.,76",Orthodox,1989-02-28,M
Jesse Moreng,5' 7",145 lbs.,--,Orthodox,1979-11-09,M
Brandon Moreno,5' 7",125 lbs.,70",Orthodox,1993-12-07,M
Mike Moreno,6' 0",185 lbs.,--,,,M
Dan Moret,6' 0",155 lbs.,73",Southpaw,1986-11-21,M
Sammy Morgan,5' 10",170 lbs.,--,Orthodox,1981-09-28,M
Peggy Morgan,6' 1",135 lbs.,--,,1979-12-16,F
Alex Morono,5' 11",170 lbs.,72",Orthodox,1990-08-16,M
Maryna Moroz,5' 7",125 lbs.,67",Orthodox,1991-09-08,F
Sergey Morozov,5' 6",135 lbs.,67",Orthodox,1989-06-14,M
Brad Morris,6' 2",205 lbs.,--,Orthodox,1979-11-01,M
Scott Morris,5' 10",210 lbs.,--,Orthodox,,M
Anthony Morrison,5' 7",145 lbs.,--,Orthodox,1984-03-29,M
Jack Morrison,5' 11",205 lbs.,--,,,M
Harry Moskowitz,6' 5",275 lbs.,--,Orthodox,,M
Juan Mott,6' 0",190 lbs.,--,Switch,,M
Nikolas Motta,5' 9",155 lbs.,70",Orthodox,1993-02-08,M
Flavio Luiz Moura,5' 11",183 lbs.,--,Open Stance,,M
Gegard Mousasi,6' 2",185 lbs.,76",Orthodox,1985-08-01,M
Kris Moutinho,5' 7",135 lbs.,68",Southpaw,1992-08-09,M
Kin Moy,5' 5",135 lbs.,--,,,M
Jamie Moyle,5' 1",115 lbs.,65",Orthodox,1989-03-17,F
Askar Mozharov,6' 3",205 lbs.,--,,1994-10-26,M
Garrett Mueller,5' 9",135 lbs.,--,,1989-01-29,M
Lauren Mueller,5' 5",125 lbs.,67",Orthodox,1991-11-15,F
Belal Muhammad,5' 11",170 lbs.,72",Orthodox,1988-07-09,M
Fazlo Mulabitinovic,--,135 lbs.,--,,,M
Quinn Mulhern,6' 3",155 lbs.,--,Orthodox,1984-09-20,M
James Mulheron,5' 10",243 lbs.,73",Orthodox,1988-02-20,M
Jamie Mullarkey,6' 0",155 lbs.,74",Orthodox,1994-08-17,M
Jim Mullen,6' 1",215 lbs.,--,Southpaw,,M
Pedro Munhoz,5' 6",135 lbs.,65",Orthodox,1986-09-07,M
Andre Muniz,6' 1",185 lbs.,78",Southpaw,1990-02-17,M
Mark Munoz,6' 0",185 lbs.,71",Orthodox,1978-02-09,M
Alexander Munoz,5' 9",155 lbs.,72",Switch,1990-02-27,M
Johnny Munoz,5' 9",135 lbs.,71",Orthodox,1993-02-16,M
Andy Murad,5' 9",185 lbs.,--,,,M
Olivier Murad,5' 10",145 lbs.,72",Southpaw,1993-12-21,M
Makhmud Muradov,6' 2",185 lbs.,75",Orthodox,1990-02-08,M
Kazunari Murakami,6' 1",220 lbs.,--,Orthodox,1973-11-29,M
Ryuichi Murata,5' 8",183 lbs.,--,Orthodox,,M
Kanako Murata,5' 1",115 lbs.,62",Orthodox,1993-08-10,F
Vince Murdock,5' 6",145 lbs.,64",Orthodox,1991-03-21,M
Tom Murphy,6' 2",227 lbs.,--,Southpaw,1974-11-19,M
Ian Murphy,6' 1",185 lbs.,--,Orthodox,1985-06-14,M
Jon Murphy,6' 3",260 lbs.,--,Orthodox,1977-08-09,M
Lauren Murphy,5' 5",125 lbs.,67",Orthodox,1983-07-27,F
Patrick Murphy,6' 0",170 lbs.,--,,,M
Lerone Murphy,5' 9",145 lbs.,73",Orthodox,1991-07-22,M
Lee Murray,6' 3",185 lbs.,--,Orthodox,1977-09-12,M
Jesse Murray,6' 3",205 lbs.,78",Orthodox,1993-01-26,M
Khalid Murtazaliev,6' 0",185 lbs.,76",Orthodox,1993-07-15,M
Azamat Murzakanov,5' 10",225 lbs.,71",Southpaw,1989-04-12,M
Nicholas Musoke,6' 0",170 lbs.,75",Orthodox,1986-04-05,M
Andre Mussi,6' 3",242 lbs.,--,Orthodox,,M
Magomed Mustafaev,5' 8",155 lbs.,71",Orthodox,1988-08-02,M
Max Mustaki,6' 0",155 lbs.,--,Orthodox,1987-11-07,M
Elvis Mutapcic,6' 0",185 lbs.,72",Orthodox,1986-07-19,M
Fiona Muxlow,5' 4",145 lbs.,--,,1977-05-13,F
Ho Bae Myeon,5' 11",168 lbs.,--,Orthodox,,M
Na Liang,5' 5",115 lbs.,67",Orthodox,1996-07-27,F
Katsuhiko Nagata,5' 7",154 lbs.,--,Southpaw,1973-10-31,M
Yuji Nagata,6' 0",225 lbs.,--,Orthodox,1968-04-24,M
Greg Nagy,6' 1",210 lbs.,--,Orthodox,1983-10-18,M
Logan Nail,--,185 lbs.,--,,1989-06-20,M
Muhammad Naimov,5' 9",145 lbs.,70",Orthodox,1994-08-07,M
Yukiya Naito,6' 1",205 lbs.,--,Orthodox,,M
Andrews Nakahara,6' 1",185 lbs.,--,Orthodox,1983-03-12,M
Rin Nakai,5' 1",135 lbs.,--,Orthodox,1986-10-22,F
Kazuhiro Nakamura,5' 11",205 lbs.,70",Orthodox,1979-07-16,M
Keita Nakamura,5' 11",170 lbs.,73",Southpaw,1984-05-22,M
Daisuke Nakamura,5' 7",154 lbs.,--,Orthodox,1980-06-10,M
Yusaku Nakamura,5' 5",145 lbs.,--,,1986-06-21,M
Jutaro Nakao,5' 9",170 lbs.,--,Southpaw,1970-11-30,M
Yoshihiro Nakao,6' 0",220 lbs.,--,Southpaw,1972-06-25,M
Yui Chul Nam,5' 9",145 lbs.,--,Orthodox,1981-07-16,M
Tyson Nam,5' 7",125 lbs.,68",Orthodox,1983-10-06,M
Rose Namajunas,5' 5",115 lbs.,65",Orthodox,1992-06-29,F
Yasuhito Namekawa,5' 9",205 lbs.,--,Orthodox,1974-10-27,M
Nad Narimani,5' 8",145 lbs.,70",Orthodox,1987-04-14,M
Roger Narvaez,6' 3",185 lbs.,--,Southpaw,1983-09-09,M
Fabio Nascimento,5' 10",185 lbs.,--,Orthodox,,M
Allan Nascimento,5' 8",125 lbs.,69",Orthodox,1991-09-11,M
Rodrigo Nascimento,6' 2",246 lbs.,80",Orthodox,1992-11-26,M
Bobby Nash,6' 0",170 lbs.,74",Orthodox,1990-03-26,M
Reza Nasri,5' 11",205 lbs.,--,Orthodox,,M
Nasrudin Nasrudinov,6' 0",205 lbs.,71",Orthodox,1991-10-06,M
Pawel Nastula,6' 0",230 lbs.,--,Southpaw,1970-06-26,M
Rafael Natal,6' 0",185 lbs.,77",Orthodox,1982-12-25,M
Kevin Natividad,5' 6",145 lbs.,70",Orthodox,1993-04-02,M
Ismail Naurdiev,5' 10",170 lbs.,74",Orthodox,1996-08-18,M
Danny Navarro,5' 10",155 lbs.,--,,1983-05-27,M
Marcio Navarro,6' 0",155 lbs.,--,,1978-09-17,M
Tafon Nchukwi,6' 0",205 lbs.,77",Orthodox,1994-10-14,M
Dustin Neace,5' 9",145 lbs.,--,,1986-09-12,M
Josh Neal,6' 0",185 lbs.,--,,,M
Joe Neal,5' 6",135 lbs.,--,,1986-07-29,M
Geoff Neal,5' 11",170 lbs.,75",Southpaw,1990-08-28,M
Stanislav Nedkov,5' 11",205 lbs.,71",Orthodox,1981-12-09,M
Josh Neer,5' 11",170 lbs.,72",Orthodox,1983-03-24,M
Nicolae Negumereanu,6' 0",205 lbs.,78",Orthodox,1994-09-04,M
Steve Nelmark,6' 0",240 lbs.,--,Orthodox,,M
Shane Nelson,5' 9",155 lbs.,70",Southpaw,1984-11-29,M
Roy Nelson,6' 0",263 lbs.,73",Orthodox,1976-06-20,M
Gunnar Nelson,5' 11",170 lbs.,72",Switch,1988-07-28,M
Kyle Nelson,5' 11",155 lbs.,71",Switch,1991-04-20,M
Lissette Neri,5' 2",145 lbs.,--,,1987-08-05,F
Mario Neto,6' 0",229 lbs.,--,Orthodox,,M
Antonio Braga Neto,6' 3",185 lbs.,77",Orthodox,1987-10-29,M
Julio Cesar Neves Jr.,5' 8",145 lbs.,--,,1994-04-25,M
Nick Newell,5' 10",155 lbs.,--,Southpaw,1986-03-17,M
Journey Newson,5' 5",135 lbs.,67",Orthodox,1989-03-07,M
Jeff Newton,6' 2",205 lbs.,--,Sideways,1966-12-11,M
Carlos Newton,5' 9",170 lbs.,--,Orthodox,1976-08-17,M
Emanuel Newton,6' 1",205 lbs.,--,,1984-01-02,M
Francis Ngannou,6' 4",250 lbs.,83",Orthodox,1986-09-05,M
Ben Nguyen,5' 5",125 lbs.,65",Switch,1988-08-03,M
Steven Nguyen,5' 11",145 lbs.,73",Switch,1993-05-19,M
Alex Nicholson,6' 4",185 lbs.,77",Orthodox,1990-05-02,M
Mike Nickels,6' 4",205 lbs.,--,Orthodox,1971-12-13,M
Matheus Nicolau,5' 6",125 lbs.,66",Orthodox,1993-01-06,M
Jaimelene Nievera,5' 5",125 lbs.,--,Orthodox,1984-10-28,F
Khomkrit Niimi,5' 2",125 lbs.,--,,,M
Tom Niinimaki,5' 9",145 lbs.,69",Orthodox,1982-07-25,M
Ramsey Nijem,5' 11",155 lbs.,75",Orthodox,1988-04-01,M
Hans Nijman,6' 0",250 lbs.,--,Switch,1959-10-23,M
Jack Nilson,--,205 lbs.,--,,,M
Mats Nilsson,6' 1",170 lbs.,--,Orthodox,1983-12-05,M
Guangyou Ning,5' 4",145 lbs.,64",Southpaw,1981-12-15,M
Soichi Nishida,5' 11",320 lbs.,--,Orthodox,,M
Yosuke Nishijima,5' 9",205 lbs.,--,Orthodox,1973-05-15,M
Akiyo Nishiura,5' 8",139 lbs.,--,Southpaw,1983-08-08,M
Anthony Njokuani,6' 1",155 lbs.,75",Orthodox,1980-03-01,M
Chidi Njokuani,6' 3",185 lbs.,80",Orthodox,1988-12-31,M
Derrick Noble,5' 9",170 lbs.,--,Southpaw,1978-08-14,M
Kyle Noblitt,6' 2",243 lbs.,--,,1989-12-26,M
Pedro Nobre,5' 5",135 lbs.,--,,1986-02-13,M
Jacob Noe,--,205 lbs.,--,,,M
Antonio Rodrigo Nogueira,6' 3",240 lbs.,77",Orthodox,1976-06-02,M
Rogerio Nogueira,6' 2",205 lbs.,75",Southpaw,1976-06-02,M
Alexandre Franca Nogueira,5' 7",145 lbs.,--,Orthodox,1978-01-15,M
Talita Nogueira,5' 10",145 lbs.,--,,1985-10-13,F
Kyle Noke,6' 1",170 lbs.,76",Southpaw,1980-03-18,M
Nick Nolte,6' 0",170 lbs.,--,,,M
KJ Noons,5' 10",155 lbs.,70",Orthodox,1982-12-07,M
Sage Northcutt,6' 0",170 lbs.,71",Orthodox,1996-03-01,M
Jan Nortje,6' 1",310 lbs.,--,Southpaw,1975-04-11,M
Scott Norton,5' 10",170 lbs.,--,Orthodox,1973-03-15,M
Jonatas Novaes,5' 11",170 lbs.,--,,1981-03-02,M
Jason Novelli,6' 0",155 lbs.,--,Orthodox,1979-06-08,M
Phillipe Nover,5' 9",145 lbs.,72",Orthodox,1984-02-03,M
Shayilan Nuerdanbieke,5' 8",145 lbs.,69",Orthodox,1994-05-04,M
Diego Nunes,5' 6",145 lbs.,67",Orthodox,1982-11-30,M
Amanda Nunes,5' 8",135 lbs.,69",Orthodox,1988-05-30,F
Nina Nunes,5' 5",115 lbs.,64",Orthodox,1985-12-03,F
Istela Nunes,5' 4",115 lbs.,66",Orthodox,1992-07-23,F
Josiane Nunes,5' 2",135 lbs.,67",Southpaw,1993-12-23,F
Khabib Nurmagomedov,5' 10",155 lbs.,70",Orthodox,1988-09-20,M
Said Nurmagomedov,5' 8",135 lbs.,70",Orthodox,1992-04-05,M
Abubakar Nurmagomedov,5' 11",170 lbs.,72",Orthodox,1989-11-13,M
Umar Nurmagomedov,5' 8",135 lbs.,--,Orthodox,1996-03-01,M
Kennedy Nzechukwu,6' 5",205 lbs.,83",Southpaw,1992-06-13,M
Jake O'Brien,6' 3",205 lbs.,76",Orthodox,1984-09-25,M
TJ O'Brien,6' 2",155 lbs.,--,Orthodox,1987-01-01,M
Sean O'Connell,6' 1",205 lbs.,74",Orthodox,1983-09-02,M
Dan O'Connor,5' 4",115 lbs.,--,,1982-11-17,M
Sean O'Haire,6' 5",270 lbs.,--,Orthodox,1971-02-25,M
Sean O'Malley,5' 11",135 lbs.,72",Switch,1994-10-24,M
Jeremiah O'Neal,5' 8",260 lbs.,--,,1977-10-25,M
Chuck O'Neil,6' 2",170 lbs.,--,,1985-09-22,M
Casey O'Neill,5' 6",125 lbs.,69",Orthodox,1997-10-07,F
Brendan O'Reilly,5' 7",170 lbs.,69",Orthodox,1987-06-24,M
Takahiro Oba,5' 8",200 lbs.,--,Southpaw,,M
Nobuhiro Obiya,5' 8",145 lbs.,--,Orthodox,1981-01-15,M
Christian Ocon,5' 8",135 lbs.,69",Orthodox,1996-02-05,M
Richard Odoms,6' 5",265 lbs.,--,Orthodox,1975-05-08,M
Volkan Oezdemir,6' 2",205 lbs.,75",Orthodox,1989-09-19,M
Naoya Ogawa,6' 4",255 lbs.,--,Orthodox,1968-03-31,M
Andy Ogle,5' 8",145 lbs.,69",Orthodox,1989-02-16,M
Michiyoshi Ohara,5' 10",205 lbs.,--,Orthodox,,M
Koji Oishi,5' 8",170 lbs.,--,Orthodox,1977-05-31,M
Takayuki Okada,6' 1",290 lbs.,--,Orthodox,,M
Yushin Okami,6' 2",170 lbs.,75",Southpaw,1981-07-21,M
JJ Okanovich,5' 11",155 lbs.,76",Orthodox,1990-11-04,M
Kazuki Okubo,5' 11",175 lbs.,--,Orthodox,,M
Masakatsu Okuda,--,--,--,,,M
Aleksei Oleinik,6' 2",240 lbs.,80",Orthodox,1977-06-20,M
Michal Oleksiejczuk,6' 0",205 lbs.,74",Southpaw,1995-02-22,M
Rafaello Oliveira,5' 8",155 lbs.,71",Orthodox,1982-01-26,M
Charles Oliveira,5' 10",155 lbs.,74",Orthodox,1989-10-17,M
Jorge Oliveira,6' 1",205 lbs.,--,,,M
Ednaldo Oliveira,6' 5",205 lbs.,--,Orthodox,1984-02-19,M
Alex Oliveira,5' 11",170 lbs.,76",Orthodox,1988-02-21,M
Maria Oliveira,5' 5",115 lbs.,69",Orthodox,1996-12-12,F
Bruno Oliveira,6' 4",205 lbs.,80",Orthodox,1984-05-02,M
Saimon Oliveira,5' 4",135 lbs.,72",Orthodox,1991-04-21,M
Wendell Oliveira Marques,5' 10",170 lbs.,--,Orthodox,1983-06-01,M
Felipe Olivieri,5' 9",155 lbs.,--,Orthodox,1985-04-12,M
Andy Ologun,6' 0",154 lbs.,--,Orthodox,1983-06-12,M
Shana Olsen,5' 7",145 lbs.,--,,1980-12-17,F
Casey Olson,5' 7",145 lbs.,--,Orthodox,,M
Dennis Olson,6' 0",170 lbs.,--,,,M
Cameron Olson,6' 1",205 lbs.,75",Orthodox,1989-11-22,M
Gadzhi Omargadzhiev,6' 1",185 lbs.,71",Switch,1993-02-24,M
Alan Omer,5' 10",145 lbs.,--,Orthodox,1988-09-14,M
Daniel Omielanczuk,6' 0",247 lbs.,74",Southpaw,1982-08-31,M
Michihiro Omigawa,5' 6",145 lbs.,68",Orthodox,1975-12-19,M
David Onama,5' 11",155 lbs.,74",Orthodox,1994-06-07,M
Charlie Ontiveros,6' 2",185 lbs.,78",Switch,1991-07-04,M
Chibwikem Onyenegecha,6' 3",185 lbs.,--,Orthodox,1994-04-18,M
Sam Oropeza,6' 2",170 lbs.,--,,,M
Brian Ortega,5' 8",145 lbs.,69",Switch,1991-02-21,M
Tito Ortiz,6' 3",205 lbs.,74",Orthodox,1975-01-23,M
Jorge Ortiz,6' 0",185 lbs.,--,Orthodox,,M
Dustin Ortiz,5' 5",125 lbs.,65",Orthodox,1988-12-25,M
Kenji Osawa,5' 7",135 lbs.,66",Orthodox,1976-11-04,M
Ode Osbourne,5' 7",125 lbs.,73",Southpaw,1992-01-09,M
Kurt Osiander,--,185 lbs.,--,,,M
Nick Osipczak,6' 2",170 lbs.,76",Orthodox,1984-12-30,M
Nissen Osterneck,6' 2",185 lbs.,--,Orthodox,1981-05-01,M
Rachael Ostovich,5' 3",125 lbs.,62",Orthodox,1991-02-25,F
Pedro Otavio,6' 3",245 lbs.,--,Orthodox,,M
Alexander Otsuka,6' 1",205 lbs.,--,Orthodox,1971-07-17,M
Takafumi Otsuka,5' 6",139 lbs.,--,Orthodox,,M
Zak Ottow,5' 11",170 lbs.,72",Orthodox,1986-12-22,M
Artur Oumakhanov,5' 7",154 lbs.,--,Orthodox,1979-02-27,M
Sidney Outlaw,5' 8",170 lbs.,74",Orthodox,1992-04-11,M
Alistair Overeem,6' 4",265 lbs.,80",Orthodox,1980-05-17,M
Valentijn Overeem,6' 3",230 lbs.,--,Orthodox,1976-08-17,M
Craig Oxley,5' 9",155 lbs.,--,,1973-02-14,M
Shungo Oyama,5' 11",185 lbs.,--,Southpaw,1974-04-11,M
Alptekin Ozkilic,5' 5",125 lbs.,65",Orthodox,1986-03-27,M
Raquel Pa'aluhi,5' 7",135 lbs.,--,,,F
Nick Pace,5' 7",135 lbs.,68",Orthodox,1987-04-17,M
Larissa Pacheco,5' 7",135 lbs.,--,Orthodox,1994-09-07,F
Teemu Packalen,6' 1",155 lbs.,75",Orthodox,1987-05-22,M
George Pacurariu,5' 7",135 lbs.,--,,1984-07-28,M
Cyrillo Padilha,5' 11",155 lbs.,--,,1978-01-23,M
Gary Padilla,5' 11",205 lbs.,--,,1980-05-04,M
Fernando Padilla,6' 1",155 lbs.,--,,1996-12-15,M
Damacio Page,5' 6",135 lbs.,66",Orthodox,1982-09-30,M
Michael Page,6' 2",170 lbs.,--,,1987-04-07,M
Dustin Pague,5' 9",135 lbs.,74",Orthodox,1987-08-05,M
Josh Paiva,5' 6",125 lbs.,--,,1991-04-05,M
Raulian Paiva,5' 8",135 lbs.,69",Orthodox,1995-10-17,M
Dinis Paiva Jr.,5' 9",145 lbs.,71",Southpaw,1988-05-26,M
Fredson Paixao,5' 6",145 lbs.,66",Orthodox,1979-05-13,M
Jose Palacios,5' 9",145 lbs.,--,Orthodox,,M
Ricky Palacios,5' 6",145 lbs.,--,Orthodox,1987-07-05,M
Bart Palaszewski,5' 9",145 lbs.,70",Orthodox,1983-05-30,M
Sasha Palatnikov,6' 1",170 lbs.,72",Switch,1989-03-15,M
Soa Palelei,6' 4",265 lbs.,81",Orthodox,1977-07-12,M
Rousimar Palhares,5' 8",170 lbs.,71",Orthodox,1980-02-26,M
Tulio Palhares,--,180 lbs.,--,,,M
Stephen Palling,5' 4",143 lbs.,--,,1967-01-29,M
Eduardo Pamplona,5' 11",170 lbs.,--,,1973-02-20,M
Alexandre Pantoja,5' 5",125 lbs.,67",Orthodox,1990-04-16,M
Jared Papazian,5' 8",135 lbs.,67",Southpaw,1988-02-01,M
Kathryn Paprocki,5' 3",115 lbs.,63",Orthodox,1993-04-28,F
Joe Pardo,6' 1",210 lbs.,--,Southpaw,,M
Bryan Pardoe,6' 1",205 lbs.,--,Orthodox,,M
Remco Pardoel,6' 3",260 lbs.,--,Southpaw,,M
Ido Pariente,5' 8",155 lbs.,--,Orthodox,,M
Josh Parisian,6' 4",265 lbs.,79",Orthodox,1989-06-28,M
Karo Parisyan,5' 10",170 lbs.,72",Orthodox,1982-08-28,M
Won Sik Park,5' 11",154 lbs.,--,Orthodox,,M
Junyong Park,5' 10",185 lbs.,73",Orthodox,1991-02-27,M
Harvey Park,6' 0",155 lbs.,70",Orthodox,1986-03-22,M
Norman Parke,5' 11",155 lbs.,70",Southpaw,1986-12-22,M
Ryan Parker,6' 3",235 lbs.,--,Southpaw,,M
Larry Parker,5' 11",205 lbs.,--,Orthodox,,M
Tyra Parker,5' 5",115 lbs.,--,Orthodox,,M
Willie Parks,5' 10",185 lbs.,--,,1983-11-04,M
Jordan Parsons,5' 9",145 lbs.,--,,1990-08-26,M
Preston Parsons,5' 11",170 lbs.,71",Orthodox,1995-07-15,M
Jonny Parsons,5' 9",170 lbs.,69",Orthodox,1991-09-06,M
Onassis Parungao,5' 11",200 lbs.,--,,,M
Jhonoven Pati,6' 1",185 lbs.,75",Switch,1990-08-29,M
Jorge Patino,5' 8",170 lbs.,--,Orthodox,1973-08-05,M
Russell Patrick,5' 9",145 lbs.,--,,,M
Claude Patrick,5' 11",170 lbs.,75",Orthodox,1980-06-14,M
Alan Patrick,5' 11",155 lbs.,74",Southpaw,1983-07-19,M
Michael Patt,6' 0",205 lbs.,--,Orthodox,,M
Justin Patterson,5' 10",170 lbs.,--,,1985-12-07,M
Julio Paulino,6' 0",170 lbs.,--,Orthodox,1975-12-04,M
Sergei Pavlovich,6' 3",257 lbs.,84",Southpaw,1992-05-13,M
Pawel Pawlak,6' 0",170 lbs.,73",Orthodox,1989-02-08,M
Estevan Payan,5' 10",145 lbs.,--,Orthodox,1982-03-14,M
Sarah Payant,5' 4",115 lbs.,--,,,F
Roland Payne,5' 9",205 lbs.,--,Orthodox,,M
Jonathan Pearce,6' 0",145 lbs.,71",Switch,1992-05-01,M
Joe Pearson,5' 10",145 lbs.,--,Orthodox,1978-03-28,M
Ross Pearson,5' 8",155 lbs.,69",Orthodox,1984-09-26,M
Andre Pederneiras,5' 8",155 lbs.,--,Orthodox,1967-03-22,M
Carlo Pedersoli Jr.,5' 11",170 lbs.,75",Southpaw,1993-06-08,M
Matt Pedro,--,--,--,,,M
Tyson Pedro,6' 3",205 lbs.,79",Orthodox,1991-09-17,M
Willie Peeters,5' 9",220 lbs.,--,Orthodox,1965-10-26,M
Filip Pejic,5' 8",135 lbs.,--,Orthodox,1992-07-21,M
Kurt Pellegrino,5' 8",155 lbs.,70",Orthodox,1979-05-07,M
Yan Pellerin,5' 11",205 lbs.,--,Orthodox,,M
Julianna Pena,5' 6",135 lbs.,69",Orthodox,1989-08-19,F
Luis Pena,6' 3",155 lbs.,75",Southpaw,1993-07-05,M
Sherman Pendergarst,6' 1",235 lbs.,--,Orthodox,1967-08-01,M
Drew Pendleton,--,145 lbs.,--,,1983-12-08,M
Cathal Pendred,6' 1",170 lbs.,75",Orthodox,1987-09-02,M
BJ Penn,5' 9",155 lbs.,70",Orthodox,1978-12-13,M
Jessica Penne,5' 5",115 lbs.,67",Orthodox,1983-01-30,F
Nick Penner,6' 4",205 lbs.,--,Southpaw,1980-03-26,M
Justin Pennington,5' 4",--,--,,,M
Raquel Pennington,5' 7",145 lbs.,67",Orthodox,1988-09-05,F
Jerron Peoples,6' 0",170 lbs.,--,,1982-05-04,M
Godofredo Pepey,5' 7",145 lbs.,73",Orthodox,1987-07-02,M
Ray Perales,5' 10",170 lbs.,--,Orthodox,,M
Robert Peralta,5' 8",145 lbs.,71",Orthodox,1986-03-14,M
Viviane Pereira,5' 1",115 lbs.,63",Orthodox,1993-08-28,F
